iteration,replay_size,policy_loss,value_loss,greedy_win_rate,greedy_draw_rate,greedy_loss_rate
1,12288,2.3290590724597373,0.4553433440936108,,,
2,24576,2.259662848431617,0.3829861949197948,,,
3,36864,2.1522596824086375,0.3904575504000402,,,
4,49152,2.086969234282151,0.38353075104532763,,,
5,50000,1.9032138362431497,0.3630316188694878,0.6666666666666666,0.0,0.3333333333333333
6,50000,1.8061334215266756,0.3706100849427579,,,
7,50000,1.7470683719528775,0.36294676880525106,,,
8,50000,1.6868853837671414,0.3637581984017631,,,
9,50000,1.6525140844295028,0.3564906307280293,,,
10,50000,1.596868147007482,0.35333981972650436,0.8333333333333334,0.0,0.16666666666666666
11,50000,1.5868995527757115,0.33605910188944177,,,
12,50000,1.5604998219791661,0.3332536184203915,,,
13,50000,1.538786389153074,0.3266732990169342,,,
14,50000,1.5040552965275915,0.31402864119231166,,,
15,50000,1.4549574311274114,0.30774488389759147,0.8333333333333334,0.0,0.16666666666666666
16,50000,1.4070071681055614,0.292346644741167,,,
17,50000,1.3377012189921282,0.2781907148735548,,,
18,50000,1.30174767822218,0.27846877713343093,,,
19,50000,1.2670714738045399,0.2771074724993007,,,
20,50000,1.2529981149296143,0.29517476513466673,1.0,0.0,0.0
21,50000,1.270010069985701,0.29781269469559574,,,
22,50000,1.2441973908686301,0.30759588085238976,,,
23,50000,1.1932245286493997,0.3069897195021413,,,
24,50000,1.123169926575906,0.2958162171282017,,,
